,Pos,Age,Starts,Player,urls,scouting_url,match_logs,position_group
32,FW,17.0,0,Paris Brunner,https://fbref.com/en/players/a33ee121/Paris-Brunner,https://fbref.com/en/players/a33ee121/scout/365_m1/Paris-Brunner-Scouting-Report,https://fbref.com/en/players/a33ee121/matchlogs/2022-2023/summary/Paris-Brunner-Match-Logs,Forwards
33,DF,20.0,0,Guille Bueno,https://fbref.com/en/players/6a133919/Guille-Bueno,https://fbref.com/en/players/6a133919/scout/365_m1/Guille-Bueno-Scouting-Report,https://fbref.com/en/players/6a133919/matchlogs/2022-2023/summary/Guille-Bueno-Match-Logs,Defender
34,GK,22.0,0,Marcel Lotka,https://fbref.com/en/players/5584552e/Marcel-Lotka,https://fbref.com/en/players/5584552e/scout/365_m1/Marcel-Lotka-Scouting-Report,https://fbref.com/en/players/5584552e/matchlogs/2022-2023/summary/Marcel-Lotka-Match-Logs,GK
0,DF,25.0,33,Ohis Felix Uduokhai,https://fbref.com/en/players/677da306/Ohis-Felix-Uduokhai,https://fbref.com/en/players/677da306/scout/365_m1/Ohis-Felix-Uduokhai-Scouting-Report,https://fbref.com/en/players/677da306/matchlogs/2022-2023/summary/Ohis-Felix-Uduokhai-Match-Logs,Defender
1,"FW,MF",25.0,33,Ermedin Demirovic,https://fbref.com/en/players/ed79b7d3/Ermedin-Demirovic,https://fbref.com/en/players/ed79b7d3/scout/365_m1/Ermedin-Demirovic-Scouting-Report,https://fbref.com/en/players/ed79b7d3/matchlogs/2022-2023/summary/Ermedin-Demirovic-Match-Logs,Attacking Midfielders
2,GK,25.0,31,Finn Dahmen,https://fbref.com/en/players/dee3013b/Finn-Dahmen,https://fbref.com/en/players/dee3013b/scout/365_m1/Finn-Dahmen-Scouting-Report,https://fbref.com/en/players/dee3013b/matchlogs/2022-2023/summary/Finn-Dahmen-Match-Logs,GK
3,FW,26.0,31,Phillip Tietz,https://fbref.com/en/players/3397e7b5/Phillip-Tietz,https://fbref.com/en/players/3397e7b5/scout/365_m1/Phillip-Tietz-Scouting-Report,https://fbref.com/en/players/3397e7b5/matchlogs/2022-2023/summary/Phillip-Tietz-Match-Logs,Forwards
4,DF,32.0,29,Jeffrey Gouweleeuw,https://fbref.com/en/players/1025db8e/Jeffrey-Gouweleeuw,https://fbref.com/en/players/1025db8e/scout/365_m1/Jeffrey-Gouweleeuw-Scouting-Report,https://fbref.com/en/players/1025db8e/matchlogs/2022-2023/summary/Jeffrey-Gouweleeuw-Match-Logs,Defender
5,"MF,FW",24.0,25,Ruben Vargas,https://fbref.com/en/players/6ecbddf6/Ruben-Vargas,https://fbref.com/en/players/6ecbddf6/scout/365_m1/Ruben-Vargas-Scouting-Report,https://fbref.com/en/players/6ecbddf6/matchlogs/2022-2023/summary/Ruben-Vargas-Match-Logs,Attacking Midfielders
6,MF,25.0,24,Elvis Rexhbecaj,https://fbref.com/en/players/1ae836b1/Elvis-Rexhbecaj,https://fbref.com/en/players/1ae836b1/scout/365_m1/Elvis-Rexhbecaj-Scouting-Report,https://fbref.com/en/players/1ae836b1/matchlogs/2022-2023/summary/Elvis-Rexhbecaj-Match-Logs,Central Midfielders
