,Player,Nation,Pos,Age,new_pound_value
1,Odsonne Édouard,fr FRA,FW,26.0,90000
2,Harry Winks,eng ENG,MF,28.0,90000
3,Boubakary Soumaré,fr FRA,MF,25.0,80000
4,Ricardo Pereira,pt POR,DF,30.0,80000
5,Wilfred Ndidi,ng NGA,MF,27.0,75000
6,Conor Coady,eng ENG,DF,31.0,75000
7,Patson Daka,zm ZAM,"FW,MF",25.0,75000
8,Jannik Vestergaard,dk DEN,DF,31.0,60000
9,Wout Faes,be BEL,DF,26.0,50000
10,Oliver Skipp,eng ENG,MF,23.0,50000
11,Hamza Choudhury,bd BAN,"MF,DF",26.0,50000
12,Danny Ward,wls WAL,GK,31.0,40000
13,Harry Souttar,au AUS,CB,26.0,40000
14,Bilal El Khannouss,,AM,20.0,35000
15,Bobby De Cordova-Reid,jm JAM,FW,31.0,35000
16,James Justin,eng ENG,DF,26.0,30000
17,Jordan Ayew,gh GHA,"FW,MF",32.0,30000
18,Victor Kristiansen,,LB,22.0,25000
19,Facundo Buonanotte,,AM,20.0,25000
20,Caleb Okoli,it ITA,DF,23.0,25000
21,Daniel Iversen,dk DEN,GK,27.0,20000
22,Luke Thomas,eng ENG,DF,23.0,15000
23,Kasey McAteer,ie IRL,FW,22.0,15000
24,Jakub Stolarczyk,,GK,23.0,10000
25,Stephy Mavididi,eng ENG,FW,26.0,10000
26,Mads Hermansen,,GK,24.0,10000
27,Issahaku Fatawu,,RW,20.0,10000
28,Michael Golding,,CM,18.0,8000
0,Aaron Hickey,sct SCO,"DF,MF",22.0,70000
1,Ben Mee,eng ENG,DF,34.0,55000
2,Mathias Jensen,dk DEN,MF,28.0,50000
3,Igor Thiago,,CF,23.0,50000
4,Bryan Mbeumo,cm CMR,FW,24.0,45000
5,Fabio Carvalho,pt POR,"FW,MF",21.0,40000
6,Kristoffer Ajer,no NOR,DF,26.0,40000
